"SEL/**/ECT * F/**/ROM Production.Product;", 0
"SELE/**/CT * FRO/**/M Production.Product;", 0
"SELEC/**/T * FRO/**/M Production.Product;", 0
"%73elect %2a f%72o%6d p%72oduction%2e%70ro%64uct;", 0
"%73%65%6c%65c%74 %2a %66%72%6f%6d p%72od%75%63ti%6fn.pro%64u%63%74;", 0
"%73%65%6c%65c%74 %2a %66%72%6f%6d p%72%6f%64%75%63%74%69%6f%6e%2e%70%72oduc%74%3b;", 0
"%73%65%6c%65%63%74 %2a f%72%6f%6d pr%6fd%75%63%74i%6f%6e%2e%70ro%64%75ct;", 0
"%se%%lec%t * f%%r%%om Production.Product;", 0
"s%el%%ec%%t * f%ro%m Production.Product;", 0
"%%s%e%%l%e%%ct * %%f%%ro%%m Production.Product;", 0
"seleselectct * frofromm Production.Product;", 0
"sselectelect * frfromom Production.Product;", 0
"SELEC/**/T * F/**/ROM Person.Passwo/**/rd WH/**/ERE 'Id' = 1 O/**/R 'a' = 'a';", 1
"S/**/ELECT * FR/**/OM Person.Passwo/**/rd W/**/HERE 'Id' = 1 O/**/R 'a' = 'a';", 1
"s%65%6ce%63%74 %2a %66%72%6f%6d p%65%72son%2epas%73w%6fr%64 w%68%65%72%65 %27%69%64%27 %3d %31 %6fr %27a%27 %3d %27a%27;", 1
"s%65lec%74 %2a %66%72%6f%6d %70%65%72s%6f%6e%2e%70%6%31%73%73%77%6f%72d wh%65%72e '%69d%27 %3d %31 o%72 %27a' %3d %27a';", 1
"%s%%e%%l%ec%%t * %f%%rom Person.Passw%%o%rd w%%h%e%r%%e 'Id' = 1 %%o%r 'a' = 'a';", 1
"sele%ct * f%r%om Person.Password wh%%e%%re 'Id' = 1 or 'a' = 'a';", 1
"sselectelect * frofromm Person.Passwoorrd whewherere 'Id' = 1 oorr 'a' = 'a';", 1
"SEL/**/ECT * FR/**/OM HumanResources.Employee WH/**/ERE JobTitle = 'Sales Representative';", 0
"S/**/ELECT * F/**/ROM HumanResources.Employee W/**/HERE JobTitle = 'Sales Representative';", 0
"se%6cec%74 %2a %66%72%6f%6d h%75%6d%61%6eresource%73.%65m%70%6c%6fy%65e %77%68%65%72%65 jo%62title %3d %27s%61l%65%73 repr%65s%65ntat%69%76e';", 0
"s%65lect %2a f%72%6fm h%75%6d%61%6e%72%65%73%6f%75%72%63%65s%2eem%70%6c%6fy%65e %77her%65 job%74it%6ce %3d %27%73%61%6c%65%73 %72%65p%72%65%73%65%6et%61ti%76%65%27%3b;", 0
"%%s%e%%l%e%c%%t * %%f%%ro%m HumanResources.Employee %%w%%h%er%%e JobTitle = 'Sales Representative';", 0
"selec%%t * %f%%rom HumanResources.Employee %where JobTitle = 'Sales Representative';", 0
"seleselectct * ffromrom HumanResources.Employee wherwheree JobTitle = 'Sales Representative';", 0
"SEL/**/ECT * F/**/ROM HumanResources.Employee WH/**/ERE JobTitle = 'Sales Representative' OR 1 = 1;", 1
"S/**/ELECT * F/**/ROM HumanResources.Employee W/**/HERE JobTitle = 'Sales Representative' OR 1 = 1;", 1
